113,THEFT - THEFT FROM MOTOR VEHICLE
114,AGGRAVATED FLIGHT FROM AN OFFICER
115,IMPROPER DISPLAY OF LICENSE PLATE
116,THEFT/MISD/CC
117,TERRORIZING
118,FLIGHT FROM AN OFFICER
119,SECOND DEGREE MURDER
120,UNLAWFUL COMMUNICATIONS; IMPROPER LANGUAGE; HARASSMENT
121,RESISTING AN OFFICER - REFUSAL TO GIVE NAME OR MAKE IDENTITY KNOWN
122,DRIVER MUST BE LICENSED
123,2 TAIL LAMPS REQUIRED
124,"SALE, DISTRIBUTION, OR POSSESSION OF LEGEND DRUG WITHOUT PRESCRIPTION OR ORDER"
125,FAILURE TO TRANSFER REGISTRATION CERTIFICATES
126,THEFT/MISD/SHOPLIFTING/CC
127,SIMPLE ESCAPE
128,PURSE SNATCHING
129,DISTURBING THE PEACE (OFFENSIVE NOISES)
130,DOMESTIC ABUSE AGGRAVATED ASSAULT - CHILD ENDANGERMENT
131,CRIMINAL ABANDONMENT
132,PEEPING TOM/CC
133,CRUELTY TO JUVENILES
134,DISTURBING THE PEACE / FISTIC
135,ILLEGAL POSSESSION OF STOLEN FIREARMS
136,UNAUTHORIZED USE OF A MOVABLE
137,SWITCHED LICENSE PLATE
138,RED LIGHT
139,SEXUAL BATTERY/FORCIBLE
140,"MANUFACTURE, DISTRIBUTION OR POSSESSION WITH INTENT TO DISTRIBUTE (PWID) SCHEDULE II"
141,DRIVER'S LICENSE; SUSPENDED
142,HORNS AND WARNING DEVICES
143,OBSTRUCTION OF JUSTICE - EVIDENCE TAMPERING
144,INTENTIONAL LITTERING PROHIBITED
145,IMPROPER TELEPHONE COMMUNICATIONS
146,DRIVER'S LICENSE; MOTORCYCLE ENDORSEMENT REQUIRED
147,TAIL LAMPS REQUIRED
148,POSSESSION OF FIREARM OR CARRYING CONCEALED WEAPON BY A PERSON CONVICTED OF CERTAIN FELONIES
149,SAFETY HELMET REQUIRED
150,SEXUAL ACTS PROHIBITED IN PUBLIC
151,DISCHARGE FIREARMS
152,OFF-ROAD VEHICLES; UTILITY TERRAIN VEHICLES
153,TRESPASSING ON BREC PARKS
154,MIRRORS
155,MOTORCYCLE; EYE PROTECTION
156,HEADLAMPS ON MOTOR VEHICLES
157,CRUELTY TO ANIMALS
158,ENTRY ON OR REMAINING IN PLACES OR ON LAND AFTER BEING FORBIDDEN - ALL OTHER OFFENSES
159,SIMPLE BURGLARY/THEFT FROM MOTOR VEHICLE
160,FAIL TO SIGNAL
161,INDECENT BEHAVIOR WITH JUVENILES
162,MISDEMEANOR SEXUAL BATTERY
163,DISTURBING THE PEACE; FISTIC ENCOUNTER
164,LOUDSPEAKERS AND AMPLIFIERS
165,STALKING
166,INSURANCE REQUIRED
167,DISTURBING THE PEACE (INTOXICATION)
168,"MANUFACTURE, TRANSFER, OR POSSESSION OF MACHINE GUNS"
169,ILLEGAL USE OF WEAPON
170,SECOND DEGREE KIDNAPPING
171,ENT/REM AFTER FORB/CC
172,DISTURBING THE PEACE (TUMULTUOUS MANNER)
173,POSS/DEAL FIREARMS OBLITERATED NUMBER/MARK
174,ILLEGAL USE OF CONTROLLED DANGEROUS SUBSTANCES IN THE PRESENCE OF PERSON UNDER SEVENTEEN YEARS OF AGE
175,MISREPRESENTATION DURING BOOKING
176,NEGLIGENT HOMICIDE
177,IMPROPER TELEPHONE COMMUNICATION/CC
178,DRAG RACING; RACING ON PUBLIC ROADS; AND VEHICULAR STUNT ACTIVITIES PROHIBITED
179,AGGRAVATED ASSAULT UPON A DATING PARTNER
180,CREDIT CARD FRAUD BY PERSONS AUTHORIZED
181,SPEEDING
182,HIT AND RUN - SERIOUS BODILY INJURY
183,LEASED MOVABLES; OBTAINING BY FALSE REPRESENTATIONS; FAILURE TO RETURN OR SURRENDER
184,AGGRAVATED SECOND DEGREE BATTERY
185,COMPUTER TAMPERING
186,WINDOW TINT VIOLATION
187,CARJACKING
188,SEXUAL BATTERY - RUBBING/TOUCHING
189,DISTURBING THE PEACE / DRUNKENNESS
190,IDENTITY THEFT
191,FIRST DEGREE RAPE-VICTIM UNDER 13 YRS OF AGE
192,D/L NOT ON PERSON
193,HANDLING OF MACHINE GUNS
194,REGISTRATION; COMMERCIAL VEHICLES; EXEMPTION
195,SPEEDING/CC
196,ENTRY ON OR REMAINING IN PLACES/LAND AFTER FORBIDDEN
197,DISTURBING THE PEACE / VIOLENT & TUMULTUOUS MANNER
198,DIST/PEACE/FISTIC ENCOUNTER/CC
199,THEFT OF MOTOR VEHICLE
200,POSSESSION OF SCHEDULE III
201,DISTURBING THE PEACE (FISTIC)
202,MVI REQUIRED/EXPIRED
203,DOMESTIC ABUSE AGGRAVATED ASSAULT
204,DRIVING UPON SIDEWALK
205,BATT/SIMPLE/CC
206,DRIVER'S LICENSE; POSSESSION OF
207,"MANUFACTURE, DISTRIBUTION OR POSS WITH INTENT TO DISTRIBUTE (PWID) SCHEDULE IV"
208,PENALTY FOR DISTRIBUTION OR POSSESSION WITH INTENT TO DISTRITUBE NARCOTIC DRUGS LISTED IN SCHEDULE I
209,ASSAULT BY DRIVE BY SHOOTING
210,OBSTRUCTION OF JUSTICE
211,THEFT - SHOPLIFTING
212,ILLEGAL POSSESSION OF A HANDGUN BY A JUVENILE
213,FOLLOWING TOO CLOSELY
214,VEHICLE LICENSE REQUIRED
215,INTERFERENCE WITH AN OFFICER
216,FLEEING TO ELUDE POLICE OFFICER
217,ASSAULT/AGG/CC
218,SIMPLE OBSTRUCTION OF A HIGHWAY OF COMMERCE
219,CHILD DESERTION
220,CRUELTY TO JUVENILES - MINOR INJURIES
221,UNAUTHORIZED USE OF FOOD STAMPS
222,POSSESSION OF LEGEND DRUG WITHOUT PRESCRIPTION OR ORDER
223,ILL POSS STLN THINGS/CC
224,STOP SIGNS AND YIELD SIGNS
225,MISD THEFT
226,DRAG RACING ON PUBLIC ROADS AND VEHICULAR STUNT ACTIVITIES PROHIBITED
227,PENALTY FOR DISTRIBUTION OR POSSESSION WITH INTENT TO DISTRIBUTE NARCOTIC DRUGS LISTED IN SCHEDULE I
228,POSSESSION\DISTRBUTION MANUFACTURING SCHEDULE II
229,TELEPHONE COMMUNICATIONS; IMPROPER LANGUAGE;HARASSMENT
230,ATTEMPTED (CODE MODIFIER)
231,POSSESSION OF SYNTHETIC CANNABINOID
232,DRIVER'S LICENSE
233,CARLESS OPERATIONS
234,POSSESSION OF FIREARMS W/ PROTECTIVE ORDER
235,AGGRAVATED KIDNAPPING
236,ILLEGAL USE OF 911 EMERGENCY COMMUNICATION SYSTEM
237,ORGANIZED RETAIL THEFT.
238,PUBLIC DRINKING PROHIBITED (OPEN CONTAINER) /CC
239,RED LIGHT/DISOBEY
240,COMPUTER FRAUD
241,DISTURBING THE PEACE; TUMULTUOUS MANNER
242,FOLLOWING TOO CLOSE
243,DRAG RACING/PUB ROAD
244,D/P BY S/DRUNK
245,CRIMINAL MISCHIEF - FALSE FIRE ALARM
246,CRIMINAL MISCHIEF - TRESPASS / OCCUPATION OF A BUSINESS
247,IMPROPER RIGHT AND LEFT TURNS
248,ENTRY ON OR REMAINING IN PLACES OR ON LAND AFTER BEING FORBIDDEN - TRESPASS
249,BATTERY OF A POLICE OFFICER
250,DIST/PEACE/OFFENSIVE NOISES/CC
251,FAILURE TO REGISTER VEHICLE
252,TRESPASSING
253,REQ TAIL LAMPS
254,HEADLIGHTS REQUIRED/CC
255,IMPROPER SUPERVISION OF A MINOR BY PARENT OR LEGAL CUSTODIAN; PENALTY
256,RAPE AND SEXUAL BATTERY/VAGINAL
257,PROHIBITED ACTS
258,UNAUTHORIZED ENTRY OF A PLACE OF BUSINESS
259,LITTERING PROHIBITED
260,BATTERY OF A DATING PARTNER - DANGEROUS WEAPON
261,AGGRAVATED BURGLARY
262,POSSESSION\DISTRBUTION MANUFACTURING SCHEDULE I
263,DRIVING ON ROADWAYS LANE FOR TRAFFIC
264,THIRD DEGREE RAPE/VAGINAL
265,D/L NOT IN POSS/CC
266,HEADLIGHTS REQUIRED
267,VEHICULAR NEGLIGENT INJURING
268,POSSESSION ALCOHOL IN VEHICLE
269,CARNAL KNOWLEDGE OF A JUVENILE
270,SOLICITING FOR PROSTITUTES
271,DOMESTIC ABUSE BATTERY - DANGEROUS WEAPON USED
272,SEATBELT
273,SECOND DEGREE RAPE - ORAL
274,DOMESTIC ABUSE BATTERY - PREGNANT
275,URINATING IN PUBLIC/CC
276,DOMESTIC ABUSE BATTERY � DANGEROUS WEAPON WITH SERIOUS BODILY INJURY
277,STOP SIGNS
278,RED LIGHT/DISOBEY/CC
